"id","content","is_annotated","project_id","user_id","sentence_number"
1522,"ꯃꯦꯜꯗ ꯅꯇ꯭ꯔꯒ ꯗꯨꯀꯥꯟ ꯑꯃꯁꯨꯡ ꯀꯦꯇꯥꯂꯣꯒꯁꯤꯡꯗꯒꯤ ꯐꯪꯂꯤꯕ ꯀꯨꯄꯟ ꯑꯃꯍꯦꯛꯇꯕꯨ ꯊꯝꯖꯤꯟꯕꯤꯌꯨ꯫

ꯑꯦ",False,62,NULL,1
1523,"ꯄꯤ",False,62,NULL,2
1524,"ꯅ ꯃꯤꯔꯖꯥꯝ ꯁ꯭ꯅꯣꯌꯔꯋꯥꯡꯒꯤ ꯋꯥꯐꯝ ꯑꯁꯤ ꯄꯟꯗꯨꯅ ꯍꯥꯏꯔꯤ: ""ꯄ꯭ꯂꯦꯟꯗꯒꯤ ꯆꯤꯡꯅꯕ ꯀꯌꯥ ꯑꯃ ꯂꯧꯊꯣꯛꯈꯤ -ꯀꯌꯥ ꯌꯥꯝꯒꯦ ꯍꯥꯏꯕꯗꯨ ꯑꯩꯍꯥꯛ ꯈꯡꯗꯦ꯫ ꯃꯈꯣꯏ ꯍꯧꯖꯤꯛ ꯋꯥꯍꯪ ꯄꯥꯎꯍꯪ ꯆꯠꯊꯔꯤ꯫""

ꯇꯨꯔꯦꯜ ꯀꯌꯥ ꯆ꯭ꯍꯣꯇꯥ ꯅꯥꯒꯄꯨꯔ ꯄ꯭ꯂꯦꯇꯨꯗ ꯐꯥꯎꯗꯨꯅ ꯆꯦꯜꯂꯤ ꯫

ꯃꯤꯔꯖꯥ ꯅꯖꯐ ꯈꯥꯟꯅ ꯃꯨꯘꯂꯒꯤ ꯁꯦꯜ-ꯊꯨꯝ ꯑꯃꯁꯨꯡ ꯂꯩꯉꯥꯛꯇ ꯄꯔꯤꯡ ꯆꯨꯝꯅ ꯆꯠꯄꯒꯤ ꯋꯥꯈꯜꯂꯣꯟ ꯑꯃ ꯑꯃꯨꯛ ꯍꯟꯅꯄꯨꯔꯛꯈꯤ ꯑꯃꯁꯨꯡ ꯃꯔꯨꯑꯣꯏꯅ ꯃꯨꯘꯜꯒꯤ ꯂꯥꯟꯃꯤꯁꯤꯡꯗ ꯑꯍꯣꯡꯕ ꯄꯨꯔꯛꯈꯤ꯫

ꯀꯔꯝ ꯀꯨꯝꯍꯩꯒꯤ ꯑꯌꯨꯛ ꯑꯁꯤ ꯅꯨꯄꯤꯁꯤꯡꯅ ꯆꯦꯡꯒꯤ ꯌꯥꯝ ꯐꯪꯅꯕ ꯎꯒꯤ ꯈꯨꯠꯂꯥꯏ ꯑꯃ ꯑꯣꯏꯔꯤꯕ ꯙꯦꯀꯤꯗ ꯆꯦꯡ ꯊꯥꯗꯨꯅꯍꯧꯏ꯫

ꯃꯦꯘꯥꯂꯌꯥ ꯑꯁꯤ ꯑꯁꯥꯝꯒꯤ ꯁꯤꯜꯆꯔ, ꯃꯤꯖꯣꯔꯥꯝꯒꯤ ꯑꯥꯏꯖꯣꯜ ꯑꯃꯁꯨꯡ ꯇ꯭ꯔꯤꯄꯨꯔꯥꯒꯤ ꯑꯒꯔꯇꯂꯥꯒ ꯅꯦꯁꯅꯜꯍꯥꯏꯋꯦꯁꯤꯡꯅ ꯁꯝꯅꯍꯜꯂꯤ ꯫

ꯃꯍꯥꯛ ꯇꯃꯤꯜ, ꯃꯂꯌꯂꯝ ꯑꯃꯁꯨꯡ ꯇꯦꯂꯨꯒꯨ ꯂꯣꯟꯒꯤ ꯃꯃꯤ ꯀꯨꯝꯍꯩꯁꯤꯡꯗꯁꯨ ꯀꯨꯝꯈꯤ꯫

꯲꯰꯱꯱ꯒꯤ ꯃꯤꯀꯣꯛ ꯊꯤꯕꯒꯤ ꯃꯇꯨꯡ ꯏꯟꯅ ꯂꯝꯗꯝ ꯑꯁꯤꯒꯤ ꯑꯄꯨꯅꯕ ꯃꯤꯁꯤꯡ ꯶꯴, ꯴꯲꯹ ꯅꯤ꯫

ꯃꯈꯣꯏꯒꯤ ꯃꯥꯏꯀꯩꯗꯒꯤ, ꯔꯥꯖꯄꯨꯇꯥꯅꯥꯅ ꯄꯥꯟꯖꯟ ꯆꯟꯅꯕ ꯃꯈꯣꯏꯅ ꯑꯣꯏꯕ ꯌꯥꯕ ꯍꯣꯠꯅꯖꯃꯟ ꯈꯨꯗꯤꯡꯃꯛ ꯎꯠꯈꯤ ꯫

ꯄꯥꯟꯗꯝ ꯑꯁꯤꯒꯤꯗꯃꯛꯇ ꯑꯣꯛꯁꯤꯖꯦꯟ ꯀꯟꯁꯦꯟꯇ꯭ꯔꯦꯇꯔꯁꯤꯡ ꯑꯁꯤ ꯇꯣꯞ-ꯇꯣꯞꯄ ꯃꯑꯣꯡꯗ ꯆꯥꯟꯅꯩ꯫

ꯃꯍꯧꯁꯥꯅ, ꯆꯍꯤ ꯱꯲ ꯐꯥꯎꯕꯒꯤ ꯑꯉꯥꯡꯁꯤꯡꯅ ꯈꯨꯗꯣꯜꯁꯤꯡ ꯐꯪꯉꯤ꯫

ꯏꯟꯗꯤꯌꯥꯀꯤ ꯃꯃꯤ ꯀꯨꯝꯍꯩꯒꯤ ꯂꯝꯖꯤꯡ ꯂꯝꯇꯥꯛꯄ ꯁꯔꯚꯣꯠꯇꯝ ꯕꯥꯗꯥꯃꯤꯅ ꯃꯃꯥꯡꯗ ꯏꯪ ꯱꯹꯵꯱ ꯗ ꯃꯍꯥꯛꯀꯤ, ꯕꯤꯅꯣꯕꯥꯚꯥꯋꯦꯒꯤ, ꯃꯔꯝꯗ ꯑꯇꯣꯞꯄ ꯑꯁꯦꯡꯕ ꯍꯤꯔꯝ ꯑꯃꯒꯤ ꯃꯇꯥꯡꯗ ꯅꯝꯕ ꯃꯃꯤ ꯀꯨꯝꯍꯩ ꯑꯃ ꯁꯦꯝꯈꯤ ꯫

ꯏꯪ ꯱꯸꯱꯸ ꯗ, ꯃꯐꯝ ꯑꯁꯤꯗ ꯅꯣꯡꯃꯩ-ꯄꯨꯕ ꯒꯥꯔꯤ ꯁꯥꯐꯝ ꯑꯃ ꯂꯤꯡꯈꯠꯈꯤ꯫

ꯄꯥꯅꯤꯄꯠꯇ ꯃꯥꯏꯄꯥꯛꯄ ꯑꯁꯤ ꯑꯍꯃꯗ ꯁꯍꯥ ꯑꯃꯁꯨꯡ ꯑꯐꯒꯥꯟ ꯁꯛꯇꯤꯒꯤ ꯑꯋꯥꯡꯕ ꯊꯥꯛꯀꯤ ꯃꯐꯝ ꯑꯣꯏꯈꯤ꯫

ꯑꯇꯣꯞꯄ ꯃꯤꯑꯣꯏ ꯑꯗꯨꯅ ꯌꯦꯡꯕꯒꯤ ꯑꯣꯏꯊꯣꯛꯄ ꯂꯩꯇꯕ ꯃꯐꯝ ꯑꯃ ꯈꯟꯕꯅ ꯈ꯭ꯋꯥꯏꯗꯒꯤ ꯐꯩ꯫

ꯅꯤꯂꯨ ꯐꯨꯂꯦꯅ ꯃꯍꯥꯛꯀꯤ ꯃꯃꯤ ꯀꯨꯝꯍꯩꯒꯤ ꯁꯤꯜꯗ ꯆꯥꯎꯔꯥꯛꯅ ꯃꯔꯥꯊꯤ ꯑꯃꯁꯨꯡ ꯍꯤꯟꯗꯤ ꯃꯃꯤ ꯀꯨꯝꯍꯩ ꯲꯵꯰ꯗ ꯀꯨꯝꯈ꯭ꯔꯦ꯫

ꯍꯥꯏꯔꯤꯕꯁꯤꯡ ꯑꯁꯤꯅ ꯑꯀꯛꯅꯕ ꯏꯟꯗꯁꯇ꯭ꯔꯤꯁꯤꯡ ꯑꯃꯁꯨꯡ ꯆꯠꯅꯔꯤꯕꯁꯤꯡꯒꯤ ꯃꯇꯥꯡꯗ ꯑꯄꯨꯟꯕ ꯃꯔꯣꯜꯄꯤꯔꯤ꯫

ꯅꯍꯥꯛꯅ ꯇꯉꯥꯏꯐꯗꯅ ꯈꯨꯗꯣꯜ ꯑꯃꯁꯨꯡ ꯃꯤꯑꯣꯏ ꯈꯨꯗꯤꯡꯃꯛꯀꯤ ꯆꯥꯗꯤꯡꯒꯤ ꯉꯝꯈꯩ ꯑꯃ ꯊꯝꯕꯤꯒꯅꯤ, ꯃꯗꯨꯅ ꯅꯍꯥꯛꯄꯨꯅꯍꯥꯛꯀꯤ ꯕꯖꯦꯠꯀꯤ ꯃꯅꯨꯡꯗ ꯊꯝꯒꯅꯤ꯫

ꯑꯩꯒꯤ ꯍꯛꯆꯥꯡ ꯑꯁꯤ ꯂꯩꯅꯥ ꯑꯃꯁꯨꯡ ꯑꯁꯣꯏ-ꯑꯉꯥꯝ ꯌꯥꯎꯗꯕ ꯑꯣꯏꯔꯁꯅꯨ ꯑꯃꯁꯨꯡ ꯅꯈꯣꯌꯒ ꯂꯣꯏꯅꯕꯒꯤ ꯅꯨꯡꯉꯥꯏꯕ ꯑꯗꯨꯑꯩꯅ ꯃꯇꯝ ꯄꯨꯝꯕꯗ ꯅꯨꯡꯉꯥꯏꯕ ꯑꯣꯏꯔꯁꯅꯨ !

ꯃꯁꯤꯅ ꯃꯈꯣꯏꯕꯨ ‘ꯍꯣꯀꯤ ꯇꯨ꯭ꯋꯤꯟꯁ’ ꯍꯥꯏꯅ ꯃꯤꯡꯊꯣꯟꯈꯤ ꯫

ꯆꯨ ꯑꯃꯁꯨꯡ ꯑꯂꯨꯒꯨꯝꯕ ꯌꯣꯟꯅꯕꯒꯤ ꯃꯍꯩ ꯃꯔꯣꯡꯁꯤꯡꯁꯨ ꯃꯐꯝ ꯈꯔꯗ ꯊꯥꯏ꯫

ꯈꯨꯟꯌꯣꯜ ꯑꯁꯤꯒꯤ ꯑꯥꯔꯇꯔꯦꯜ ꯑꯣꯏꯕ ꯂꯝꯕꯤ ꯀꯌꯥ ꯈ꯭ꯋꯥꯡꯐꯥꯎ-ꯊꯨꯝꯕ ꯏꯁꯤꯡꯗ ꯂꯨꯞꯁꯤꯟꯈꯤꯕꯗꯒꯤ ꯒꯥꯔꯤꯁꯤꯡꯒꯤꯆꯠꯊꯣꯛ-ꯆꯠꯁꯤꯟꯗ ꯌꯥꯝꯅ ꯀꯥꯏꯍꯜꯂꯦ꯫

ꯑꯦꯟ",False,62,NULL,3
1525,"ꯕꯤ",False,62,NULL,4
1526,"ꯑꯦ",False,62,NULL,5
1527,"ꯐꯥꯏꯅꯦꯜꯁꯀꯤ ꯑꯅꯤꯁꯨꯕ ꯒꯦꯝ ꯑꯗꯨꯗ ꯗꯂꯥꯁ ꯃꯦꯚꯔꯤꯛꯁꯅ ꯃꯥꯏꯌꯥꯃꯤ ꯍꯤꯠꯄꯨ ꯹꯹-꯸꯵ ꯗ ꯃꯥꯏꯊꯤꯕꯄꯤꯗꯨꯅ ꯁꯤꯔꯤꯖ ꯑꯗꯨ ꯲-꯰ ꯗ ꯃꯥꯡꯖꯤꯜ ꯊꯥꯈꯤ꯫

ꯏꯪ ꯲꯰꯱꯵ꯒꯤ ꯑꯣꯏꯅ, ꯆꯥꯎꯔꯥꯛꯅ ꯃꯤꯑꯣꯏ ꯃꯤꯂꯤꯌꯟ ꯸꯹ꯗꯤ ꯌꯣꯁ ꯄꯥꯛ ꯁꯟꯅ ꯅꯥꯕ ꯃꯐꯝꯁꯤꯡꯗ ꯂꯩꯔꯝꯕ ꯌꯥꯏ ꯍꯥꯏꯅꯄꯥꯅꯔꯤ, ꯑꯗꯨꯕꯨ ꯄꯤꯔꯝꯂꯤꯕ ꯃꯁꯤꯡ ꯑꯗꯨ ꯌꯥꯝꯅ ꯅꯦꯝꯃꯤ, ꯑꯃꯁꯨꯡ ꯃꯁꯤ ꯍꯦꯟꯖꯤꯟꯅ ꯄꯥꯕ ꯑꯣꯏꯔꯝꯕ ꯌꯥꯏ ꯫

ꯆꯍꯤ ꯑꯗꯨꯗ ꯃꯍꯥꯛꯀꯤ ꯑꯇꯣꯞꯄ ꯃꯥꯏꯄꯥꯛꯄꯁꯤꯡꯒꯤ ꯃꯅꯨꯡꯗ ꯄꯔꯕꯔꯤꯁ ꯑꯃꯁꯨꯡ ꯈꯨꯟ ꯄꯥꯁꯤꯅꯥ ꯌꯥꯎꯔꯤ꯫

ꯈꯣꯡ-ꯈꯨꯠꯇ ꯏ ꯃꯇꯤꯛ ꯆꯥꯅ ꯆꯦꯟꯗꯕ ꯃꯇꯝꯗ ꯈꯨꯅꯤꯡ ꯑꯁꯤ ꯀꯦꯁ ꯀꯌꯥꯗ ꯃꯅꯨꯡ ꯆꯟꯗꯅ ꯂꯩ꯫

ꯔꯥꯝ ꯆꯇꯨꯔ ꯃꯥꯜꯂꯤꯛ, ꯕꯤꯗꯨꯔ ꯃꯥꯜꯂꯤꯛ, ꯑꯚꯦ ꯅꯥꯔꯥꯌꯟ ꯃꯥꯜꯂꯤꯛ, ꯂꯩꯈꯤꯗ꯭ꯔꯕ ꯄꯟꯗꯤꯠ ꯁꯟꯖꯦ ꯀꯨꯃꯥꯔ ꯃꯥꯜꯂꯤꯛ,ꯂꯛꯁꯃꯟ ꯚꯠ ꯇꯥꯏꯂꯪ ꯑꯃꯁꯨꯡ ꯁꯤꯌꯥꯔꯥꯝ ꯇꯤꯋꯥꯔꯤ ꯑꯁꯤ ꯲꯰ꯁꯨꯕ ꯆꯍꯤꯆꯥꯗ ꯗꯔꯚꯪꯒꯥ ꯘꯔꯥꯅꯥꯒꯤ ꯃꯃꯤꯡ ꯆꯠꯈ꯭ꯔꯕꯊꯣꯏꯗꯣꯛ-ꯍꯦꯟꯗꯣꯛꯄ ꯃꯤꯁꯛꯁꯤꯡ ꯑꯣꯏꯈꯤ꯫

ꯁꯨꯁꯦꯅ ꯑꯍꯥꯟꯕ ꯇꯥꯡꯀꯛꯁꯤꯡꯗ ꯁꯔꯨꯛ ꯌꯥꯝꯅ ꯌꯥꯈ꯭ꯔꯕꯁꯨ, ꯑꯔꯣꯏꯕꯗ ꯗꯦꯕꯤꯌꯟ ꯑꯁꯤ ꯗꯦꯁꯛꯇꯣꯞ ꯱꯴,꯰꯰꯰ꯗꯋꯤꯟꯗꯣꯁꯀꯤ ꯃꯍꯨꯠ ꯁꯤꯟꯅꯕ ꯈꯟꯈꯤ꯫

ꯍꯤꯟꯗꯨ ꯙꯔꯃꯒꯤ ꯈ꯭ꯋꯥꯏꯗꯒꯤ ꯁꯦꯡꯂꯕ ꯇꯨꯔꯦꯜ ꯑꯅꯤ, ꯒꯪꯒꯥ ꯑꯃꯁꯨꯡ ꯌꯃꯨꯅꯥ, ꯑꯁꯤ ꯎꯠꯇꯔꯥꯈꯟꯗꯗꯒꯤ ꯍꯧꯔꯛꯏ꯫

ꯕꯦꯖ ꯂꯥꯏꯟ ꯑꯅꯤꯃꯛꯀꯤ ꯃꯄꯥꯟꯗ ꯐꯥꯎꯜ ꯇꯦꯔꯤꯇꯣꯔꯤꯗ ꯂꯩꯕ ꯀꯣꯆꯀꯤ ꯕꯣꯛꯁ ꯑꯅꯤ ꯂꯩ꯫

꯲꯰꯲꯱ꯗ ꯃꯍꯥꯛꯅ ꯏꯟꯗꯤꯌꯥꯀꯤ ꯍꯣꯝ ꯃꯤꯅꯤꯁꯇꯔ ꯑꯃꯤꯠ ꯁꯥꯍꯒꯤ ꯃꯃꯥꯡꯗ ꯀꯦꯔꯂꯥ ꯄꯤꯄꯜꯁ ꯄꯥꯔꯇꯤꯕꯨꯕꯤ",False,62,NULL,6
1528,"ꯖꯦ",False,62,NULL,7
1529,"ꯄꯤ",False,62,NULL,8
1530,"ꯒ ꯄꯨꯟꯁꯤꯟꯈꯤ꯫

ꯏꯪ ꯱꯸꯴꯵ꯒꯤ ꯑꯔꯣꯏꯕꯗ ꯕ꯭ꯔꯤꯇꯤꯁ ꯑꯃꯁꯨꯡ ꯁꯤꯈ ꯂꯥꯟꯃꯤꯁꯤꯡꯅ ꯐꯤꯔꯣꯖꯄꯨꯔꯒꯤ ꯃꯅꯥꯛꯇ ꯂꯥꯟꯊꯦꯡꯅꯗꯨꯅ ꯑꯍꯥꯟꯕꯑꯦꯡꯒ꯭ꯂꯣ-ꯁꯤꯈ ꯂꯥꯟ ꯍꯧꯈꯤ꯫

ꯃꯍꯥꯛꯀꯤ ꯃꯤꯌꯥꯝꯅ ꯊꯥꯒꯠꯅꯕ ꯃꯁꯥꯅ ꯏꯖꯕ ꯄꯨꯟꯁꯤꯋꯥꯔꯤ, ꯏꯅꯔ ꯔꯤꯁꯦꯁꯁ ꯑꯦꯟꯗ ꯑꯥꯎꯇꯔ ꯁ꯭ꯄꯦꯁꯁ: ꯃꯦꯃ꯭ꯋꯥꯔꯑꯁꯤ ꯏꯪ ꯱꯹꯸꯶ꯇ ꯐꯣꯡꯈꯤ꯫

ꯖꯣꯅꯥꯔꯥꯖꯥꯒꯤ ꯃꯇꯨꯡ ꯏꯟꯅ ꯁꯥꯍ ꯃꯤꯔ ꯑꯁꯤ ꯄꯥꯔꯊꯥꯒꯤ ꯆꯥꯔꯣꯟ ꯁꯨꯔꯣꯟꯅꯤ꯫

ꯏꯪ ꯱꯹꯴꯲ ꯗ ꯒꯥꯟꯙꯤꯅ ꯕ꯭ꯔꯤꯇꯤꯁꯁꯤꯡꯗ ꯏꯟꯗꯤꯌꯥ ꯊꯥꯗꯣꯛꯅꯕ ꯍꯥꯏꯈꯤ; ꯅꯦꯍꯔꯨꯅ, ꯇꯤꯟꯅꯗꯨꯅ ꯂꯥꯟꯊꯦꯡꯅꯅꯕꯍꯣꯠꯅꯔꯤꯕ ꯑꯗꯨꯕꯨ ꯏꯀꯥꯏꯕ ꯄꯤꯅꯤꯡꯗ꯭ꯔꯕꯁꯨ, ꯒꯥꯟꯙꯤꯒ ꯂꯣꯏꯅꯅ ꯆꯠꯃꯤꯟꯅꯕ ꯅꯠꯇꯅ ꯑꯇꯣꯞꯄ ꯄꯥꯝꯕꯩ ꯑꯃꯠꯇꯂꯩꯈꯤꯗꯦ꯫

ꯁꯨꯈꯅꯥ ꯋꯥꯏꯜꯗꯂꯥꯏꯐ ꯁꯦꯡꯆꯨꯑꯦꯔꯤ ꯑꯁꯤ ꯱꯹꯹꯸ꯗ ꯋꯥꯏꯜꯗꯂꯥꯏꯐ ꯁꯦꯡꯆꯨꯑꯦꯔꯤ ꯑꯣꯏꯅ ꯂꯥꯎꯊꯣꯛꯈꯤ꯫

ꯑꯔꯣꯏꯕꯗ ꯅ꯭ꯌꯨ ꯖꯤꯂꯦꯟꯗꯒꯤ ꯈꯣꯡꯆꯠ ꯆꯠꯀꯗꯕ ꯏꯟꯗꯤꯌꯟ ꯑꯥꯔꯃꯤꯒꯤ ꯇꯤꯝꯒꯤꯗꯃꯛ ꯆꯟꯗ ꯈꯟꯈꯤ꯫

ꯀꯤꯔꯇꯥꯅꯝ ꯅꯇ꯭ꯔꯒ ꯀ꯭ꯔꯤꯇꯤ ꯑꯁꯤ ꯀꯔꯅꯥꯇꯤꯛ ꯏꯁꯩ-ꯅꯣꯡꯃꯥꯏꯒꯤ ꯑꯌꯥꯝꯕ ꯀꯝꯄꯣꯖꯤꯁꯟꯒꯤ ꯀꯥꯡꯂꯨꯞꯇ ꯆꯟꯕꯑꯣꯏ ꯫

ꯑꯉꯟꯕ ꯃꯇꯝꯒꯤ ꯀꯝꯄ꯭ꯌꯨꯇꯔ ꯁꯥꯏꯟꯇꯤꯁ꯭ꯠꯁꯤꯡꯒꯤ ꯄꯥꯟꯗꯝꯁꯤꯡꯒꯤ ꯃꯅꯨꯡꯗ ꯑꯃꯗꯤ ꯆꯦꯁ-ꯁꯥꯟꯅꯕ ꯃꯦꯁꯤꯟꯑꯃ ꯁꯦꯝꯕꯅꯤ ꯫

ꯃꯗꯨꯒꯤ ꯃꯇꯨꯡꯗ ꯋꯥꯏꯠ ꯄꯦꯄꯔ ꯑꯗꯨ ꯐꯦꯁꯕꯨꯛꯅ ꯑꯃꯡ-ꯑꯇꯥ ꯊꯣꯛꯄ ꯌꯥꯕ ꯑꯗꯨ ꯁꯦꯝꯖꯤꯟꯗ꯭ꯔꯤꯐꯥꯎꯕ ꯑꯏꯕꯅ ꯁꯔꯨꯛꯈꯔꯗꯤ ꯁꯦꯟꯁꯔ ꯇꯧꯈꯤ꯫

ꯁꯪꯀꯔꯅ ꯁꯨꯒꯥꯏꯅ ꯇꯥꯛꯈꯤꯕꯒꯨꯝ, ꯊꯥꯈꯤꯕ ꯏꯁꯩ ꯄꯨꯝꯅꯃꯛꯇꯨꯒꯤ ꯆꯥꯗ ꯹꯰ꯗꯤ ꯈꯨꯗꯛꯇ ꯂꯦꯡꯈꯤ꯫

ꯃꯤꯔ ꯀꯥꯁꯤꯝꯅ ꯃꯍꯥꯛꯀꯤ ꯃꯥꯏꯀꯩꯗꯒꯤ ꯑꯋꯥꯙꯒꯤ ꯅꯋꯥꯕ, ꯁꯨꯖꯥ-ꯎꯗ-ꯗꯧꯂꯥ ꯑꯃꯁꯨꯡ ꯁꯥꯍ ꯑꯥꯂꯝ ꯑꯅꯤꯁꯨꯕꯕꯨꯕ꯭ꯔꯤꯇꯤꯁꯁꯤꯡꯗ ꯂꯥꯟꯗꯥꯅꯕ ꯄꯨꯛꯅꯤꯡ ꯊꯧꯒꯠꯈꯤ꯫

ꯎꯠꯇꯔꯥꯈꯟꯗꯒꯤ ꯀ꯭ꯔꯤꯀꯦꯠ ꯇꯤꯝ ꯑꯁꯤꯅ ꯎꯠꯇꯔꯥꯈꯟꯗꯒꯤ ꯃꯍꯨꯠ ꯑꯣꯏꯅ ꯔꯟꯖꯤ ꯇ꯭ꯔꯣꯐꯤ, ꯕꯤꯖꯦ ꯍꯥꯖꯥꯔꯦ ꯇ꯭ꯔꯣꯐꯤꯑꯃꯁꯨꯡ ꯁꯩꯌꯗ ꯃꯨꯁ꯭ꯇꯥꯛ ꯑꯂꯤ ꯇ꯭ꯔꯣꯐꯤꯗ ꯌꯥꯎꯏ ꯫

ꯍꯥꯏꯔꯤꯕ ꯅꯤꯡꯊꯧꯔꯦꯜ ꯂꯩꯕꯥꯛꯁꯤꯡ ꯑꯁꯤꯅ ꯃꯇꯦꯡ ꯄꯥꯡꯂꯕ ꯋꯥꯉꯨꯂꯣꯟꯗ ꯈꯪ-ꯍꯩꯔꯕꯁꯤꯡ ꯑꯃꯁꯨꯡ ꯁꯩꯔꯥꯡꯕꯁꯤꯡꯅꯉꯁꯤꯐꯥꯎꯕ ꯆꯠꯊꯗꯨꯅ ꯂꯥꯛꯂꯤꯕ ꯈꯨꯟꯅꯥꯏ-ꯂꯥꯏꯅꯤꯡ ꯑꯃꯁꯨꯡ ꯈꯣꯔꯤꯔꯣꯜꯒꯤ ꯈꯣꯡꯖꯪꯁꯤꯡ ꯍꯧꯗꯣꯛꯈꯤ꯫

ꯄꯥꯟꯗꯃꯁꯤꯡꯒꯤ ꯃꯅꯨꯡꯗ ꯃꯥꯔꯀꯦꯠ ꯁꯦꯌꯔ ꯍꯦꯟꯒꯠꯍꯟꯕ ꯅꯇ꯭ꯔꯒ ꯄꯣꯠꯂꯩꯕ ꯂꯥꯛꯄ ꯃꯤꯑꯣꯏꯁꯤꯡ ꯍꯦꯟꯒꯠꯅꯊꯝꯕ ꯑꯁꯤ ꯌꯥꯎꯕ ꯌꯥꯏ꯫

ꯗꯠꯀꯤ ꯂꯩꯈꯤꯗ꯭ꯔꯕ ꯃꯄꯥ ꯁꯨꯅꯤꯜ ꯗꯠꯀꯤ ꯹꯰ꯁꯨꯕ ꯃꯄꯣꯛ ꯀꯨꯝꯑꯣꯟꯒꯤ ꯊꯧꯔꯝꯗ ꯖꯨꯟ ꯶ꯇ ꯃꯃꯤ ꯀꯨꯝꯍꯩ ꯅꯝꯕ ꯍꯧꯈꯤ꯫

ꯇꯣꯁꯥ ꯃꯩꯗꯥꯟ ꯑꯁꯤ ꯑꯁꯥꯡꯕ ꯃꯥꯏꯜ ꯳ ꯑꯃꯁꯨꯡ ꯑꯄꯥꯛꯄ ꯃꯥꯏꯜ ꯱",False,62,NULL,9
1531,"꯵ ꯑꯣꯏꯕ, ꯃꯁꯤꯒꯤ ꯑꯀꯣꯏꯕꯗ ꯂꯩꯕ ꯃꯐꯝꯁꯤꯡꯗꯈ꯭ꯋꯥꯏꯗꯒꯤ ꯆꯥꯎꯕ ꯂꯝꯄꯥꯛꯅꯤ꯫

ꯅꯍꯥꯛꯀꯤ ꯗꯤ",False,62,NULL,10
